stage,Endothelial_cell,Enterocyte,Hepatocyte,Intestinal_bulb_cell,Neural_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,2.14,1.07,0
21Day,0,0,0,0,0,2.68,0
3Month,0,0,0,0,0,0,1.28
22Month,0.55,0.55,0.55,0.55,0,21.87,0
