stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,8.17,0,0,0,0,0,4.09,16.35,0,0,0,0,0,8.17,65.38,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,3.21,1.07,0,1.07,0,1.07,0,0,0,0,0,0,1.07,2.14,1.07,6.42,0,0,0,0,33.16,14.98,0,0,6.42,0,0,0,1.07,1.07,0,0,0
21Day,1.34,1.34,0,13.39,8.03,0,2.68,0,2.68,0,0,0,0,1.34,1.34,0,9.37,8.03,4.02,0,0,1.34,0,10.71,9.37,0,1.34,6.69,4.02,1.34,2.68,1.34,12.05,0,0,2.68
3Month,0,0.96,0.32,24,0,0,0,2.88,5.76,0,0,20.48,7.04,0,7.36,0.64,5.12,8,5.76,0.96,0,5.12,0.32,0.32,0,2.56,0,0.32,0.64,14.08,0.96,0,0,5.76,31.99,7.36
22Month,0,2.19,1.64,6.01,0,1.09,0,2.19,16.4,3.28,0,57.95,1.09,1.09,8.75,1.09,1.09,9.84,2.73,0.55,2.73,1.64,0.55,1.64,0,1.09,0,0,0,3.28,1.64,0,0,0.55,0,1.64
