stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,28.6,0,0,0,0,0,0,0,0,0,0,0,4.09,0,16.35,0,0,0,0,16.35,196.15,0,0,0,0,0,0,0,0,8.17,0,0
72hpf,13.91,2.14,0,10.7,1.07,7.49,0,0,0,0,0,0,0,0,8.56,49.21,2.14,23.54,0,1.07,1.07,0,1319.05,215.03,3.21,108.05,33.16,1.07,0,319.87,1.07,1.07,3.21,0,0
21Day,6.69,0,2.68,17.4,2.68,26.77,0,0,1.34,0,2.68,0,0,2.68,1.34,6.69,2.68,54.88,0,0,0,0,613.05,58.9,14.72,87,10.71,13.39,0,137.87,8.03,2.68,2.68,0,4.02
3Month,0,0.32,0,6.08,0.32,0,0.64,0.96,1.28,0,8.32,0.96,0.64,3.2,0.32,1.92,1.6,14.72,0.96,0,1.6,16.64,3.52,0.32,12.48,11.2,0.32,0.64,5.44,0.96,0,0,0.32,0.64,0.64
22Month,0,0.55,0.55,4.92,0,0,0.55,1.09,3.28,1.09,28.43,1.64,0,2.73,0,3.28,0.55,13.12,0,0,0.55,0,3.83,1.09,22.41,17.49,0,0,9.29,1.09,0,0,0,0,0.55
