stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Spermatocyte
72hpf,1.07,0,0,0,0,0,0,0,1.07,0,1.07,0,0
3Month,0.32,0.32,0.64,0.32,0,0.64,0,1.28,0,0.32,0,7.68,1.6
22Month,0,0,0.55,0,0.55,0,0.55,0,0,0,0,0,0
