stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,4.09,4.09,32.69,4.09,0,0,12.26,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,1.07,2.14,0,0,0,0,0,0,0,1.07,1.07,36.37,0,0,1.07,0,10.7,7.49,0,0,0,83.44,2.14,0,1.07,0,0,0,0
21Day,1.34,4.02,0,2.68,0,5.35,0,1.34,1.34,0,0,1.34,1.34,0,103.07,0,0,17.4,0,1.34,2.68,0,0,0,223.54,5.35,0,0,1.34,0,0,1.34
3Month,0.32,1.6,0,8.64,0,0,1.6,3.52,0,7.68,1.28,2.88,2.24,1.6,240.92,40.31,0,0,0.32,0,0,0.32,0.64,0,1.92,2.88,0.64,1.6,0,0.96,0.32,1.28
22Month,0.55,3.28,0.55,4.92,0,0,1.09,2.19,2.19,21.87,3.28,0.55,0,1.09,180.4,3.28,0.55,0.55,0,0.55,0.55,0,0,0.55,0,0,0,1.09,0.55,1.09,0,0.55
