stage,Cardiomyocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Retinal_cell
24hpf,16.35,0,0,0,0,0
72hpf,7.49,0,0,0,0,0
21Day,4.02,0,0,0,2.68,1.34
3Month,0,0.32,0.32,0.64,0,0
