stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hatching_gland,Keratinocyte,Neural_cell,Neural_progenitor_cell
24hpf,0,4.09,0,16.35,0,4.09,4.09
72hpf,0,0,0,0,0,2.14,1.07
21Day,1.34,2.68,1.34,0,1.34,0,0
