stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,44.95,57.21,0,0,0,12.26,0
72hpf,1.07,0,0,0,0,0,1.07,1.07,0,1.07,46,3.21,1.07,99.49,2.14,0,0
21Day,0,4.02,0,1.34,2.68,4.02,0,1.34,2.68,2.68,10.71,6.69,0,99.05,1.34,6.69,0
3Month,0,0,0.32,0.64,0,0,0,0,0,0.32,0,0,0,4.8,0,0,0.64
22Month,0,0,0,0.55,0,0,0,0,0,0,0,0.55,0,0,0,0,0
