stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte
24hpf,4.09,0,0,0,0,0,0,16.35,4.09,0,0
72hpf,0,0,0,0,0,0,0,6.42,0,0,0
21Day,0,1.34,0,0,0,0,2.68,2.68,0,0,24.09
3Month,0,0,0,0.32,0.64,0.32,0,0.32,0,0.96,1.6
22Month,0,0.55,2.73,0,0.55,0,0,0,0,0,3.28
