stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.86,0,0,4.09,36.78,0,0,0,0,0,0
72hpf,0,0,6.42,0,0,1.07,0,0,0,0,1.07,0,0,1.07,0,21.4,0,0,7.49,16.05,10.7,0,0,0,0,0
21Day,0,1.34,0,1.34,0,0,0,0,0,0,0,0,0,4.02,0,26.77,0,0,1.34,2.68,10.71,0,1.34,0,0,0
3Month,1.92,0.96,0,0,0,0,0.32,0,0.64,0.32,0.64,0.64,0,0.32,0.64,8.96,3.2,0.96,0,0,1.92,0,1.92,2.56,0.64,0.64
22Month,8.75,0.55,0,0,1.09,0,3.83,4.37,12.57,0,2.73,0,0.55,0,3.28,8.2,0.55,0.55,0,0.55,1.64,0.55,2.19,0,0,0
