stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,36.78,0,0,0,0,0,0,0,0,0,0
72hpf,68.47,0,2.14,0,0,0,0,0,0,0,0,0,2.14,0,1.07,1.07,0,4.28,0,0,12.84,5.35,0,5.35,2.14,1.07,2.14,0,0,0,0,0
21Day,30.79,0,1.34,1.34,4.02,0,0,1.34,0,0,10.71,0,0,1.34,1.34,8.03,0,0,2.68,0,8.03,4.02,0,1.34,2.68,2.68,1.34,1.34,1.34,0,0,0
3Month,1.6,0.32,3.84,0,0.32,0.64,2.56,0,7.04,0.64,1.28,1.92,0,0.96,0.64,3.84,0.32,0,0.32,1.28,0.32,0,0.64,0,1.28,74.55,0,0,0,0.32,11.2,1.28
22Month,0,1.09,0.55,0,0,0,0.55,0,10.93,0.55,0.55,1.64,0,0,0.55,0.55,0,0,0,0.55,0,0,0,0,0,26.24,0,0,0,0,0,0.55
