stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0
21Day,1.34,1.34,0,1.34,1.34,0,0,0,0,0,1.34,0,0,0,0,6.69,0,0,0,0,1.34,0,0,0,0
3Month,0,0.96,0.32,8,0,0.64,0.32,1.28,10.56,0,0.96,4.48,0,1.28,0.64,1.28,0,0.32,0.32,0.32,0.32,0.96,0.32,0.64,3.84
22Month,0,0,0,0.55,0,0,1.09,0.55,22.96,2.73,0.55,8.2,1.09,0,0.55,1.64,0.55,0.55,0.55,0,0,0,1.09,0.55,1.09
