stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,20.43,0,8.17,0,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,12.26,65.38,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,36.37,0,21.4,0,0,0,0,0,0,0,0,0,37.44,0,13.91,0,0,1.07,10.7,10.7,0,0,12.84,0,0,6.42,0,1.07,8.56,0,0,0
21Day,6.69,21.42,0,116.45,4.02,0,0,0,0,1.34,0,1.34,1.34,49.53,0,24.09,0,0,28.11,10.71,1.34,0,0,10.71,5.35,0,5.35,1.34,0,9.37,0,0,1.34
3Month,0,34.23,2.88,113.9,0,0,0.32,2.24,0,13.12,1.6,6.4,1.6,31.04,3.84,9.6,0.64,0,2.56,0.32,0.32,0.32,0,0,1.6,5.76,0,0,0,0.32,29.44,0.64,2.24
22Month,0,63.96,0,53.57,0,0.55,0,1.09,32.25,24.6,2.19,2.19,0.55,4.92,3.28,7.65,0,1.64,2.19,0,0,0,0.55,0.55,0,0,0.55,0,0,0,2.73,0,0
