stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,8.17,53.12,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,1.07,2.14,0,0,1.07,0,0,0,0,0,1.07,2.14,0,1.07,0,0,1.07,19.26,13.91,1.07,2.14,0,0,2.14,0,1.07,0,0,0,0
21Day,2.68,0,0,5.35,8.03,0,0,1.34,0,0,0,2.68,1.34,1.34,5.35,1.34,10.71,0,4.02,0,5.35,10.71,0,0,0,0,2.68,1.34,1.34,0,0,0,5.35
3Month,0,2.88,0.32,9.92,0,0.32,1.28,3.2,0,16.64,4.8,0.96,2.56,1.6,3.52,3.2,3.52,0.96,0.64,2.88,0,0.32,0.64,0.32,0.32,8,0,0,0,0.32,0.64,4.16,5.12
22Month,0,2.73,0,2.19,0,1.09,0.55,4.37,0.55,34.44,1.09,1.64,2.73,0,0,5.47,2.19,0,0.55,0.55,0,0,0.55,0,0,1.64,0,0,0,0,1.09,0,1.09
