stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,4.09,4.09,0,0,0,0,0,0,57.21,0,0,4.09,0,0,0,4.09,0,0
72hpf,0,6.42,0,1.07,0,0,0,1.07,99.49,1.07,1.07,3.21,2.14,0,0,0,0,0
21Day,0,16.06,0,0,0,0,0,0,69.6,0,0,1.34,1.34,1.34,0,1.34,0,0
3Month,0,36.79,0.32,0,0.32,2.24,0.64,0,1.28,0.32,0,0.32,0,0.32,0.32,0,0.64,0.32
22Month,0,0.55,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
