stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,0,1.07,1.07,0,0,0,0,0,0,0,0,69.54,0,1.07,0,4.28,6.42,0,3.21,0,0,2.14,0,0,0
21Day,2.68,1.34,8.03,1.34,0,1.34,0,1.34,8.03,0,0,18.74,8.03,8.03,0,2.68,1.34,0,2.68,4.02,0,0,0,0,2.68
3Month,0,0.32,9.28,0,0.64,1.28,0.32,5.76,0,1.6,0.96,1.92,2.24,1.6,0,0.32,0,0.64,0,0,6.4,0,0.32,3.52,0.32
22Month,0,0,0.55,0,0,1.09,0,13.67,0,2.19,0,0.55,2.73,0.55,0.55,0,0,0.55,0,0,0,0,0,0,1.09
