stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,171.63,20.43,0,0,0,0,0,0,134.85,0,0,0,0,8.17,20.43,0,8.17,0,0,0,0,4.09,93.99,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,12.84,0,72.75,598.01,5.35,0,0,0,0,0,0,0,0,0,0,2.14,147.63,1.07,9.63,0,0,0,1.07,115.54,28.88,1.07,0,0,12.84,0,0,0,0,0,1.07,0,0,0
21Day,2.68,0,120.47,405.58,14.72,0,2.68,0,1.34,0,0,0,0,0,1.34,0,93.7,1.34,6.69,0,1.34,1.34,0,49.53,5.35,0,0,0,1.34,13.39,2.68,4.02,1.34,4.02,0,0,0,1.34
3Month,0,0.32,32.95,87.35,0,0,0,0.64,1.92,0,0,21.12,2.56,0.64,2.56,1.28,7.36,1.28,1.6,0.64,0,0.64,0.64,3.84,0,1.92,0.32,0,0.32,0.96,7.68,0,0,0,0,0.64,2.88,1.6
22Month,0.55,1.09,20.23,35.53,0,0.55,0.55,0,2.19,2.19,0,213.2,1.09,0.55,6.01,0,8.75,1.64,5.47,0,3.83,2.19,0,0.55,0,1.09,0.55,0.55,0,0,6.01,0.55,0,0.55,0,0.55,0,0.55
