stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,17.12,7.49,0,0,0,0,0,0
21Day,2.68,2.68,1.34,0,0,0,0,0,2.68,0,2.68,0,17.4,6.69,0,2.68,8.03,1.34,0,0
3Month,0,0.32,0,0,0,0.96,0.64,0,0,0,0,0,0,0,0,0,0.32,0,0,0
22Month,0,1.09,0,1.09,0.55,36.63,0.55,1.64,0,1.09,1.09,2.19,0,0,0.55,0,0,0,0.55,0.55
