stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Neural_progenitor_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,12.26,0,0
72hpf,0,0,2.14,0,0,0,0,0,0,0,0,0
21Day,0,1.34,61.57,42.83,0,0,0,1.34,0,1.34,0,1.34
3Month,0.32,0,0,0.32,0.64,0,0.32,0,0,0,0,0.32
22Month,0,0,0,0,0,0.55,2.73,0,0.55,0,0.55,0
