stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,4.09,0,0,0,0,4.09,0,4.09
72hpf,1.07,0,1.07,0,0,0,0,0,1.07,0,0,0,1.07
21Day,4.02,0,6.69,0,0,0,0,1.34,4.02,0,0,0,0
3Month,0.64,0.64,1.92,0.64,0.64,0,23.04,7.68,0.32,0.64,0.32,0,0
22Month,0,0,0.55,0,0,0,25.15,6.01,0,0,0.55,0.55,0
