stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,0,12.26,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,25.67,0,0,0,0,0,0,0,0,0,0,0,3.21,0,1.07,0,0,0,0,0,1.07,0,0,0,0,0,1.07,0,0,0,0,0
21Day,2.68,0,0,1.34,41.49,1.34,0,1.34,0,0,0,0,0,0,1.34,0,5.35,0,1.34,0,0,0,0,6.69,0,0,0,2.68,1.34,0,1.34,0,0,0,0,0
3Month,0.32,2.24,0.96,75.19,11.2,0,0.96,0.32,3.52,7.36,0,27.2,10.56,0.32,10.24,14.4,8,7.68,8,0.32,0,1.6,6.08,2.88,0.64,2.24,1.6,1.6,5.44,0.32,86.39,0.64,0.32,2.88,945.77,8.64
22Month,0,0,0.55,12.03,0.55,0,0,0,0.55,1.64,0,6.01,0,0,4.37,3.28,0.55,0.55,1.64,0,0.55,1.09,0,0.55,0,1.09,0.55,0,0,0,78.72,0.55,0,0,2.73,0
