stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,4.09,4.09,24.52,0,0,0
72hpf,0,0,0,0,0,1.07,1.07,35.3,4.28,1.07,0,0
21Day,0,1.34,0,0,1.34,1.34,1.34,10.71,4.02,0,0,0
3Month,0.96,0.64,0,1.92,0,0.96,0.96,0.32,0,0,2.56,0.64
22Month,0,0.55,0.55,4.37,1.64,0.55,0.55,0,0,0,0,0
