stage,Enterocyte,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,T_cell
72hpf,0,1.07,0,0,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0
22Month,0.55,0,0.55,0.55,0.55,0.55,4.37,0.55
