stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
24hpf,4.09,4.09,0,0,0,0,4.09,8.17,16.35,8.17,12.26,1291.3,0,0,0,0,0,0
72hpf,23.54,1.07,1.07,1.07,0,0,0,1.07,1.07,3.21,60.98,140.14,3.21,0,0,38.51,0,0
21Day,8.03,0,0,0,1.34,1.34,0,1.34,0,4.02,5.35,62.91,0,2.68,0,54.88,1.34,0
3Month,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,1.28,0,0,0.64
22Month,0,0,0,0,1.64,0.55,0,0,0.55,0,0,0,0,0,1.09,0,0,0
