stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,2.14,0,2.14,0,27.81,7.49,0,0,0,0,0,0,0,0,0,0
21Day,5.35,0,1.34,5.35,4.02,0,0,0,0,0,10.71,2.68,1.34,0,2.68,4.02,0,34.8,4.02,0,1.34,2.68,0,0,1.34,1.34,0,0,10.71
3Month,0,0.32,0,2.24,0,0.32,0.32,0.64,4.8,0.32,0.96,0.32,0.32,1.28,0.96,1.28,0.64,0,0,0,0,0.32,0.32,0,0,0,0,0.32,21.76
22Month,0,0,0,1.09,0,0.55,0,0,8.75,0,0,1.09,0,0,1.09,2.19,0,0,0.55,1.09,0,0,0,0.55,0,0,0.55,0,3.28
