stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,44.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,56.7,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,2.14,0,1.07,1.07,0,0,0,1.07,0,0,0
21Day,1.34,0,14.72,0,0,0,0,0,0,0,1.34,0,16.06,0,4.02,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0.32,0.64,2.56,0.64,0.32,0,1.92,1.92,0,1.28,0.64,0.96,21.12,1.6,0,4.8,0,0,1.28,0.64,0.32,24,0,0.32,0.64,7.04,1.92
22Month,0,1.64,1.09,0,0.55,8.2,10.39,0.55,0.55,0.55,0,0,15.31,0.55,0.55,0.55,0,0,1.09,0,0,6.56,0.55,1.09,0.55,0,1.64
