stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,2.14,0,0,19.26,1.07,1.07,0,0,0,0,1.07,57.77,2.14,1.07,46,1.07,0,0,17.12,14.98,4.28,5.35,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,2.68,0,0,0
3Month,0.32,0.96,0.32,2.24,0,0,0.64,0,2.56,2.88,0.32,0,0,0.32,1.6,0.32,0.96,0.32,0.32,0.32,0,0.64,90.87,3.2,6.4,0.64
22Month,0,0,0,1.09,0,0,0,0.55,7.11,0,0,0,0,0,0.55,0,0,0,0,0,0,0,22.96,0,0,0
