stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,12.26,0,0,12.26,0,0,0,0,0,24.52,69.47,0,8.17,151.2,0,0,0,0,4.09,0,0
72hpf,0,1.07,0,2.14,0,0,0,0,0,1.07,2.14,0,11.77,6.42,0,3.21,0,1.07,2.14,0,0
21Day,0,0,0,0,0,0,0,0,0,4.02,0,0,4.02,0,0,1.34,0,0,0,0,0
3Month,0,0.32,0.32,0.96,0.32,0.64,0,1.28,0,1.92,0,0,0,0,0,0,0.32,0,0,0.32,0
22Month,0,1.09,0,1.64,2.19,16.95,0.55,0.55,0.55,4.92,0.55,0.55,0,0,4.92,0,4.92,0,0,0,0.55
