stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,4.28,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69,0,0,1.34,0,0,0,0,0
3Month,0,1.28,0.32,6.4,0.32,1.28,0,16.32,1.92,0.64,4.8,0.32,0,1.6,3.2,0.64,0,0.32,1.28,0,0.32,0,0,0.32,0.64,0.64,3.52,0.32
22Month,0,0,0.55,3.28,0,1.09,1.09,44.83,1.09,1.09,4.37,0,0.55,1.64,2.19,0,1.64,0,0,0,1.09,1.09,0,0,0,0,0,0.55
