stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Macrophage,T_cell
24hpf,0,0,0,0,20.43,0
21Day,0,1.34,0,1.34,1.34,1.34
22Month,0.55,0,1.09,0,0,0
