stage,Cardiomyocyte,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,0,40.86,0,0
72hpf,1.07,0,1.07,1.07,1.07,22.47,1.07,1.07
21Day,0,0,0,2.68,0,8.03,0,0
22Month,0,0.55,0,0,0,0,0,0
