stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,4.09,0,0,0,0,24.52,0,0,0,0,0,0,49.04,0,0,0
72hpf,1.07,1.07,2.14,1.07,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,64.19,2.14,0,0,2.14,1.07,0,0,89.86,0,0,0
21Day,1.34,0,0,1.34,0,0,0,0,0,0,0,2.68,0,0,2.68,0,5.35,0,0,1.34,103.07,2.68,0,5.35,0,0,0,0,4.02,0,0,0
3Month,0,2.24,3.2,0,0.32,0,0.32,0.96,0,7.36,0.64,0,2.88,0.32,1.28,0.64,2.24,0.64,0,0.96,4.8,0,5.12,0.32,0,0.32,11.84,0,0,0.32,4.8,3.2
22Month,1.09,5.47,3.83,0,0,0.55,0.55,0.55,0.55,31.71,0.55,1.09,6.01,0.55,1.09,2.73,2.19,0,2.73,0.55,1.64,0,8.75,0,0,0.55,4.92,1.09,0,0,0,2.19
