stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,16.35,4.09,0,0,0,0,0,0,4.09,0,8.17,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,0,4.28,2.14,1.07,0,0,0,0,0,0,0,3.21,0,0,5.35,1.07,1.07,0,19.26,0,1.07,0,0,0
21Day,0,2.68,1.34,1.34,0,0,1.34,0,0,0,0,12.05,0,0,1.34,0,0,0,5.35,0,0,0,0,0
3Month,0,10.24,0.64,0,14.4,2.56,5.12,1.6,2.56,0.32,0.96,17.92,15.68,0.64,0.32,0,0.32,0.32,0.96,0.64,0,1.6,2.56,1.28
22Month,0.55,1.64,0,0,1.09,1.09,12.57,1.09,1.64,0,0,3.28,0,0,0,0,0,0.55,0,0.55,0,0,0,0
