stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,8.17,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,3.21,4.28,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,1.34,0,2.68,0,1.34,0,0,0,0
3Month,0.32,0.64,0.32,1.92,0.32,0.64,0.64,0,0,0.32,0,0,0,1.28,0.96,0.32,0.64
22Month,0,0,0,0.55,0.55,0,0,0.55,0,0,0,0,0,0,0,0,0
