stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,36.78,0,0,0,0,0,0,4.09,0,0,0,0,12.26,8.17,20.43,16.35,0,0,0,16.35,126.68,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,5.35,1.07,0,12.84,3.21,0,1.07,0,1.07,0,0,0,0,2.14,0,10.7,25.67,3.21,14.98,1.07,0,1.07,88.79,49.21,0,0,13.91,0,0,4.28,0,2.14,0,0,0
21Day,14.72,2.68,0,38.82,22.76,0,10.71,0,4.02,0,0,2.68,0,24.09,5.35,2.68,17.4,14.72,29.45,0,4.02,0,37.48,37.48,0,2.68,8.03,4.02,0,1.34,1.34,1.34,0,0,17.4
3Month,0.32,0.64,1.28,26.88,0,1.28,0.64,2.24,10.56,0,0,32.95,4.48,2.24,11.2,1.92,9.28,10.56,6.08,0,2.88,0.32,1.28,0.96,0.96,0.64,0,0.64,15.04,0.32,0,0.32,2.88,20.8,10.56
22Month,0,3.83,0,8.2,0,0.55,0,1.64,9.29,1.09,0,64.51,1.64,2.19,20.23,0.55,0.55,11.48,5.47,1.64,2.73,0,0.55,0,2.73,1.09,0,1.09,2.19,0.55,1.09,0,1.09,0,3.83
