stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,0,0,36.78,0,0,0,8.17,457.68,0,0,0,0,0,0,0,12.26,0
72hpf,8.56,1.07,1.07,1.07,0,0,0,0,0,0,0,1.07,0,0,5.35,1.07,17.12,0,0,0,56.7,240.7,0,6.42,0,0,33.16,0,0,5.35,0
21Day,0,0,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,1.34,10.71,69.6,0,1.34,0,0,13.39,1.34,13.39,2.68,0
3Month,0.32,0,0.96,0,0,0,0.32,1.28,0,15.04,0,0,1.6,0,0,0.64,2.24,0,0.64,0,0,0.64,0,0,0.64,0,0.64,0,0,0.64,0
22Month,0,0.55,2.73,0,0,0.55,0.55,1.64,22.41,38.81,1.64,0,3.28,0,0.55,2.73,3.83,0.55,0.55,0,0,1.09,1.09,0,0.55,0.55,5.47,0.55,0,0.55,0.55
