stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,69.47,0,0,0,0,0,0,0
72hpf,3.21,0,0,0,0,0,3.21,36.37,0,4.28,0,0,0,0,0
21Day,14.72,0,0,1.34,0,0,0,33.46,0,2.68,1.34,2.68,0,0,0
3Month,19.52,0.32,0.32,0.96,0.96,1.6,0.32,2.24,0.64,0,0,0,0.32,0.32,0.96
22Month,2.73,0,1.09,1.64,0,1.09,1.09,0.55,0,0,0,0,0,0,0
