stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,5.35,1.07,4.28,0,0,0,2.14,2.14,0,0,3.21,0,0,2.14,0,0,0
21Day,2.68,0,1.34,4.02,0,0,0,0,0,0,0,0,0,0,4.02,0,5.35,0,0,0,1.34,1.34,0,0,4.02,4.02,0,0,0,0,0
3Month,0.32,1.92,0,7.68,0.32,0,0.96,3.52,0.32,10.88,5.12,0,2.56,0.32,1.6,7.04,8.96,2.88,0,0.96,0.96,0,0,0,0.32,0.64,1.6,0.32,1.92,0.32,7.04
22Month,0.55,2.73,0,8.75,0,0.55,0,8.2,0.55,44.83,3.83,1.64,4.92,0,0.55,5.47,16.4,1.09,1.09,0,1.09,0,0.55,0.55,0,1.09,0.55,1.09,0,0,4.37
