stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,7.49,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,13.39,12.05,0,6.69,0,0,4.02,0,2.68,0,6.69,6.69,0,1.34,6.69,0,0,0,2.68,0,1.34,0,0,0,1.34,0,0,0,1.34,0,0,0
3Month,0.32,5.12,3.52,94.07,0,6.08,4.16,0.32,20.8,168.61,0,409.86,105.58,8.64,204.13,8.64,27.84,60.79,16.64,3.2,1.92,22.4,7.04,0.64,0.32,5.76,0.32,11.84,0.32,9.92,0.32,0,7.36,6.72,46.39
22Month,1.09,2.19,3.28,18.04,0,0.55,2.73,0,8.2,77.62,1.09,278.25,18.04,8.75,144.32,0,4.37,27.33,8.75,0.55,6.56,3.83,1.09,1.09,0,4.92,0.55,1.64,0,6.01,0,0,1.64,0,8.2
