stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,3.21,1.07,0,0,0,0,0,0,0,0,1.07,0,19.26,0,0,0,32.09,7.49,0,0,2.14,0,0,5.35,0,0,0
21Day,0,0,0,2.68,1.34,0,0,0,0,2.68,0,1.34,0,0,9.37,1.34,12.05,0,1.34,0,5.35,6.69,0,1.34,1.34,1.34,1.34,0,0,0,2.68
3Month,0.32,0,0,5.76,0,0,0.64,0.64,0,10.88,0.96,0.32,3.2,0.32,2.24,3.84,0.64,0,0,1.28,0.64,0,0,0,0,0,5.76,0,0.64,0.96,1.28
22Month,1.09,0.55,0.55,6.56,0,0,1.64,3.83,1.09,94.57,1.09,1.09,10.39,0,0,3.28,2.73,2.19,0.55,0,2.19,0,0.55,0,0,0,9.84,0,0,0,1.64
