stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,4.09,8.17,20.43,0,0,0,0,0,0
72hpf,1.07,2.14,2.14,0,0,0,1.07,0,29.95,296.33,22.47,8.56,26.74,0,8.56,0,1.07
21Day,1.34,0,0,0,1.34,0,0,1.34,24.09,52.2,2.68,6.69,0,1.34,0,2.68,0
22Month,0,0,0,0.55,3.28,0.55,0,0,0.55,0,0,0,0,0,0,0,0
