stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0
72hpf,5.35,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,1.07,0,20.33,0,1.07,1.07,0,5.35,2.14,0,111.26,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,25.43,0,0,1.34,0,0,0,1.34,77.63,0,0,0,0,0,1.34
3Month,0,0.64,0,2.24,0,0.64,0.32,0.64,0.32,5.12,0.64,0,1.92,0,0.64,0.64,1.92,0,0,0,0.32,0,0,0,7.68,0.32,1.28,0,0.64,0.32,0.32
22Month,0,1.09,0.55,2.19,1.09,0,0.55,3.28,0.55,45.37,0.55,0.55,2.73,0.55,0,2.73,3.28,0.55,1.64,0,0,0,0,0,0.55,0,0.55,0.55,0,0,0.55
