stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,8.17,0,0,8.17,0,0,0
72hpf,4.28,0,0,1.07,0,0,0,0,0,0,2.14,0,0,4.28,0,1.07,1.07,1.07,39.58,0
21Day,1.34,0,5.35,1.34,0,0,16.06,0,4.02,1.34,0,1.34,0,1.34,0,0,1.34,0,42.83,1.34
3Month,0,0,0.96,0,0,0,2.24,0.32,0.32,0.96,0.32,0,0.32,0,0,0,0,0,0,0
22Month,0,1.09,0,0,0.55,0.55,14.76,0.55,0,0.55,0,0,0,0,0.55,0,0,0,0,1.09
