stage,Epithelial_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell
24hpf,0,0,4.09,0,0,0,0,0
72hpf,1.07,0,0,0,0,1.07,0,0
21Day,0,0,0,0,0,1.34,2.68,0
3Month,0,0.32,0,0.32,0.32,1.6,0,0.32
