stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,1.34,0,0,0,0,1.34,0,0,0,0,1.34,1.34,0,0,1.34,0,0,0,0,0,0
3Month,0.64,0.32,5.76,0.32,0.32,1.6,0.96,3.52,2.24,0.32,3.84,0.32,1.28,0.64,0,1.28,0.32,2.56,0,1.6,0.96,0.64,20.8
22Month,0,0.55,1.09,0,0,1.64,1.09,4.37,0.55,0,2.19,0.55,0,0.55,1.09,0,0,11.48,0,1.09,0,0,4.37
