stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,4.09,0,0,20.43,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,0,1.07,0,0,0,10.7,4.28,0,1.07,1.07,0,1.07,0,0,0,0
21Day,0,0,4.02,2.68,2.68,0,0,0,0,0,1.34,0,0,2.68,1.34,1.34,1.34,6.69,1.34,0,1.34,0,0,0,1.34,1.34,0,1.34
3Month,0,0,2.88,0,0,1.28,0.32,0.32,0,2.24,0.32,0.64,1.28,0.96,0.96,0.64,1.28,0,0,0.32,0,0.64,5.44,0,0,0,5.44,1.6
22Month,0.55,0.55,0,0,0,0,0,1.09,0,9.29,0.55,0.55,0,0,1.64,1.09,0.55,0,0,1.09,0,0,1.09,0,0,0,0,1.09
