stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,8.17,4.09,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,3.21,2.14,0,3.21,0,0,0,0,7.49,8.56,0,0,0,4.28,0,0,0,1.07,0,0,0
21Day,0,2.68,8.03,0,2.68,0,4.02,0,0,0,0,0,0,1.34,0,0,2.68,1.34,5.35,0,0,1.34,0,8.03,2.68,0,0,0,1.34,2.68,1.34,4.02,0,0,0,1.34
3Month,0.64,0.64,11.52,0,0,0,0,1.92,1.92,0,0,12.8,1.28,0.32,7.36,0.96,5.44,2.56,3.52,0.32,0.32,0.64,0.64,0.32,0,1.28,0.32,0,0,0.32,10.88,0,0,1.6,6.72,3.84
22Month,2.73,2.73,9.84,0.55,0,0.55,0,1.09,7.11,1.09,0,89.65,1.09,2.73,7.65,0,1.09,4.37,9.29,0.55,2.19,0.55,0.55,1.64,0,0.55,0,0.55,1.09,0.55,2.19,0,0,0.55,0,2.19
