stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulosa_cell,Hepatocyte,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cone_cell
24hpf,0,4.09,0,0,0,4.09,4.09,4.09,4.09,24.52,0,0
72hpf,1.07,0,0,0,0,0,0,0,7.49,6.42,1.07,0
21Day,0,0,1.34,0,0,0,0,2.68,4.02,6.69,1.34,1.34
22Month,0,0,0,1.09,0.55,0,0,0,0,0,0,0
