stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,1.07,3.21,1.07,0,0,0,0,6.42,0,0,0,6.42,0,0,1.07,0,0,0,0
21Day,1.34,0,0,17.4,0,2.68,0,2.68,1.34,1.34,0,0,1.34,5.35,0,0,14.72,4.02,8.03,0,0,1.34,5.35,1.34,0,0,1.34,0,1.34,0,1.34,0,0,5.35
3Month,0,0.64,1.6,15.04,0,0,0.64,0,2.24,2.24,0,8,3.2,0.32,8.96,1.92,2.24,5.76,1.92,0.64,0,0.96,0.96,0,0.64,0.64,0,0.64,0,0,0,0.96,0.96,8.32
22Month,0,2.73,1.09,10.39,0,0,1.09,0,1.09,16.95,0.55,35.53,3.83,2.73,9.84,0.55,1.64,4.37,0,0,0.55,3.28,0.55,0,0,0.55,0,1.09,0.55,0,0,0,0,2.73
