stage,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell
72hpf,0,0,0,0,0,40.65,4.28
21Day,1.34,0,0,0,0,4.02,0
3Month,0,0.32,0,0.96,0.32,6.4,0
22Month,0,0.55,0.55,0,0,0,0
