stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,24.52,0,0,0,0,0,0,0,0,0,0,0,0,106.25,0,0,0,0,0,4.09,20.43,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,16.05,1.07,4.28,1.07,1.07,0,0,0,0,0,0,0,0,0,3.21,120.89,1.07,5.35,0,0,0,201.12,6.42,0,1.07,5.35,0,0,11.77,0,1.07,0,0,0
21Day,6.69,0,13.39,0,1.34,0,1.34,0,0,0,0,0,0,1.34,6.69,36.14,0,4.02,0,0,0,42.83,2.68,0,2.68,0,1.34,0,6.69,2.68,4.02,0,0,1.34
3Month,0,0.32,30.72,0,0,0.32,0,0.64,2.24,0,8.96,1.28,0,0.96,2.88,1.92,0.64,1.92,0,0.64,0.32,0.32,0,1.28,1.92,0,0,3.84,0,0,0,0.64,17.6,1.92
22Month,0,0.55,8.2,0,0,0,0,1.09,2.73,3.83,38.81,2.73,0.55,1.09,0,1.64,1.09,1.64,1.64,0,0,0.55,0.55,0.55,0,0,0,0.55,0,0,0,0,0,0.55
