stage,Cardiomyocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cell,Retinal_cone_cell
72hpf,0,0,0,0,1.07,0,16.05,4.28,1.07,0,1.07,1.07
21Day,1.34,0,0,0,1.34,0,2.68,2.68,0,1.34,1.34,0
3Month,0,0.96,0.32,0,0.32,0,0,0,0,0.32,0,0
22Month,0,2.19,0,0.55,0,0.55,0,0,0,0,0,0
