stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,10.7,0,0,0,0,0,0,0,0,0,2.14,0,6.42,0,0,0,0,1.07,3.21,5.35,1.07,0,0,0,0,0,0,0
21Day,0,0,4.02,0,9.37,0,1.34,0,0,0,0,0,0,0,1.34,0,9.37,0,0,1.34,0,0,2.68,12.05,0,0,1.34,0,0,0,0,0
3Month,0.96,0,8,0,0,0,0.32,0.32,0.32,2.24,0.96,0,1.6,0,10.24,0.64,4.8,2.56,0,1.28,0,0,0.32,0.64,0.32,1.92,0,0,0.32,0.32,0.32,1.28
22Month,0.55,1.09,2.19,0,0,0.55,0,2.73,1.09,51.39,0.55,0.55,2.19,1.09,2.73,1.64,2.73,0,0.55,0.55,0.55,0,0,0.55,0,0,0.55,0.55,0,0,0,0.55
