stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,2.68,0,0,1.34,2.68,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0
3Month,0,0.64,3.84,0.32,0.32,0.32,5.44,0.32,0,1.6,2.24,0.64,0.64,0.32,0,0,0,0.32,0,0.64,12.8,0,0,2.88,1.28
22Month,0.55,0,2.19,0,0,2.19,17.49,0,1.64,2.73,1.09,0,2.19,0,1.09,0,0,0.55,0.55,0,6.56,0.55,0.55,0,0.55
