stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,32.69,0,16.35,49.04,0,0,0,0,0,0,4.09,0
72hpf,3.21,0,0,4.28,1.07,1.07,0,0,0,0,1.07,0,4.28,0,33.16,0,35.3,8.56,0,34.23,1.07,0,2.14,0,6.42,0
21Day,1.34,0,1.34,5.35,0,0,0,0,0,0,0,0,0,0,29.45,0,2.68,9.37,0,12.05,1.34,0,1.34,1.34,5.35,0
3Month,0,0.96,0,0.96,0,0,0.32,0,0,1.92,0,1.6,0.96,0.32,2.24,0.32,0,0,0,0.32,0.32,0.32,0,0,0,1.6
22Month,0,0.55,0,1.09,0,0,0,2.19,0,13.12,0,0,0.55,0,1.09,0,0,0,0.55,0.55,0,0.55,0,0,0,0
