stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,0,20.43,0,0,0,0,0,0,0,0,0,0,0,8.17,8.17,670.17,0,0,0,0,8.17,286.05,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,46,68.47,0,49.21,105.91,154.05,46,0,4.28,0,2.14,0,4.28,1.07,111.26,134.79,6.42,4033.11,0,1.07,2.14,0,853.69,445.03,4.28,3.21,0,156.19,1.07,0,84.51,49.21,1.07,3.21,0,0
21Day,46.85,8.03,2.68,294.48,22.76,140.55,30.79,1.34,10.71,0,56.22,0,34.8,25.43,9.37,107.08,22.76,2101.5,0,0,14.72,4.02,281.09,182.04,5.35,6.69,0,60.23,53.54,10.71,20.08,5.35,50.86,10.71,1.34,30.79
3Month,0.32,6.08,1.28,11.52,4.48,0,0.32,4.16,0.64,0,6.4,0.32,0.32,4.8,1.92,6.08,4.16,25.6,0.64,0,2.24,0.32,0.32,0,1.6,0.64,0,0.32,2.88,109.42,0,0,0,0.32,56.63,1.92
22Month,0,7.11,1.09,4.92,2.73,0,0.55,2.73,3.28,1.09,32.25,0.55,1.64,15.31,0.55,2.19,0.55,26.79,1.64,0.55,4.37,0,0.55,0,1.64,0,0.55,0,0,27.88,1.09,0,0,0.55,0,1.09
