stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,1.34,0,1.34,0,0,5.35,0,1.34,0,10.71,1.34,0,0,0,0,0,0,0,0
3Month,0,0,0.32,16.96,0,0,0.32,0,1.28,0,6.08,0.64,0,1.6,0,4.48,2.88,4.48,0,0.96,0.32,0.96,0,0,0.64,0,1.92,0.32,0.64
22Month,3.28,0.55,0.55,5.47,0,0.55,0,0.55,1.64,2.73,194.61,0,0,1.09,0,4.37,2.19,3.83,3.83,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0,0,0
