"stage","tissue","cell_counts","Total_sum"
" 14-21 hpf","mesenchyme",303,10741.26
" 24-34 hpf","mesenchyme",739.59,10741.26
" 36-46 hpf","mesenchyme",693.68,10741.26
" 48-58 hpf","mesenchyme",1137.86,10741.26
" 60-70 hpf","mesenchyme",1437.93,10741.26
" 72-82 hpf","mesenchyme",1927.98,10741.26
" 84-94 hpf","mesenchyme",1471.98,10741.26
" 96-106 hpf","mesenchyme",1113.61,10741.26
"108-118 hpf","mesenchyme",947.5,10741.26
"120 hpf","mesenchyme",968.13,10741.26
"  5-6 hpf","neural",6.13,9541.62
"  7-9 hpf","neural",402.19,9541.62
" 10-12 hpf","neural",824.51,9541.62
" 14-21 hpf","neural",898,9541.62
" 24-34 hpf","neural",2082.51,9541.62
" 36-46 hpf","neural",2122.94,9541.62
" 48-58 hpf","neural",1103.43,9541.62
" 60-70 hpf","neural",511.37,9541.62
" 72-82 hpf","neural",481.01,9541.62
" 84-94 hpf","neural",277.19,9541.62
" 96-106 hpf","neural",243.7,9541.62
"108-118 hpf","neural",271.15,9541.62
"120 hpf","neural",317.49,9541.62
" 14-21 hpf","glial",35,5012.29
" 24-34 hpf","glial",109.17,5012.29
" 36-46 hpf","glial",354.49,5012.29
" 48-58 hpf","glial",630.04,5012.29
" 60-70 hpf","glial",641.92,5012.29
" 72-82 hpf","glial",895.28,5012.29
" 84-94 hpf","glial",565,5012.29
" 96-106 hpf","glial",579.21,5012.29
"108-118 hpf","glial",516.26,5012.29
"120 hpf","glial",685.92,5012.29
" 14-21 hpf","spinal cord",256,2114.12
" 24-34 hpf","spinal cord",479.38,2114.12
" 36-46 hpf","spinal cord",598.61,2114.12
" 48-58 hpf","spinal cord",458.47,2114.12
" 60-70 hpf","spinal cord",148.21,2114.12
" 72-82 hpf","spinal cord",55.95,2114.12
" 84-94 hpf","spinal cord",54.16,2114.12
" 96-106 hpf","spinal cord",21.86,2114.12
"108-118 hpf","spinal cord",19.92,2114.12
"120 hpf","spinal cord",21.56,2114.12
" 14-21 hpf","muscle",305,1925.05
" 24-34 hpf","muscle",316.85,1925.05
" 36-46 hpf","muscle",255.4,1925.05
" 48-58 hpf","muscle",179.6,1925.05
" 60-70 hpf","muscle",105.02,1925.05
" 72-82 hpf","muscle",154.12,1925.05
" 84-94 hpf","muscle",138.06,1925.05
" 96-106 hpf","muscle",138.79,1925.05
"108-118 hpf","muscle",157.79,1925.05
"120 hpf","muscle",174.42,1925.05
"  7-9 hpf","eye",26.29,1448.75
" 10-12 hpf","eye",22.03,1448.75
" 14-21 hpf","eye",76,1448.75
" 24-34 hpf","eye",86.19,1448.75
" 36-46 hpf","eye",87.82,1448.75
" 48-58 hpf","eye",148.04,1448.75
" 60-70 hpf","eye",115.82,1448.75
" 72-82 hpf","eye",197.31,1448.75
" 84-94 hpf","eye",250.64,1448.75
" 96-106 hpf","eye",173.76,1448.75
"108-118 hpf","eye",121.79,1448.75
"120 hpf","eye",143.06,1448.75
" 10-12 hpf","somites",9.44,1379.6
" 14-21 hpf","somites",1212,1379.6
" 24-34 hpf","somites",156.78,1379.6
" 36-46 hpf","somites",0.81,1379.6
" 48-58 hpf","somites",0.57,1379.6
"  7-9 hpf","notochord",60.46,1194.96
