stage,central_nervous_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,3.65,0.92,0.97,0
3dpf,5.4,0,0.44,0
5dpf,0,0.73,0,0.34
10dpf,6.29,0,0,0
