stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,periderm
2dpf,11.03,0.74,1.42,1.96,1.22,0.78
3dpf,3.63,0,0,0,0,0
5dpf,0.49,0.43,0,0.41,0,0
10dpf,3.22,0,0,3.73,0,0
