stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,2658.98,64.46,23.82,0,560.25,47.17,0,35.13,607.81,685.34
12hpf,1294.88,33.13,8.75,34.48,432.91,68.83,3.31,28.16,361.48,364.36
14hpf,978.59,19.57,70.74,109.26,238.94,89.92,13.39,12.45,241.11,256.46
16hpf,862.38,41.82,41.06,51.32,275.42,112.97,37.82,24.36,206.54,325.07
19hpf,1606.38,9.58,0,17.31,121.58,45.58,28.7,2.02,33.86,120.87
24hpf,881.17,4.29,7.64,24.09,163.57,59.43,16.08,0,46.25,65.02
2dpf,1071.36,23.7,45.17,128.01,419.61,651.77,91.17,6.39,199.75,209.21
3dpf,1945.29,19.61,11.86,30.45,48.11,389.45,15.84,0,24.01,58.72
5dpf,199.55,20.22,66.12,112.59,47.87,511.94,41.79,20.39,117.58,257.29
10dpf,980.61,32.92,66.56,92.85,52.63,574.71,49.27,0.67,73.19,81.08
