stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,notochord,paraxial_mesoderm
10hpf,9.54,0,0,0,0,0
2dpf,20.04,0,0,0,1.22,0
3dpf,5.43,0,0,0.63,0,0
5dpf,18.41,0.67,0.71,0.54,0,0.35
10dpf,8.29,0,0.37,0.78,0,0
