stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,102.45,0,0,0,0,0,0,0,43.99
12hpf,0,0,0,0,0,0,0,0,1.88
14hpf,71.22,0,11.72,2.84,8.71,0,3.68,16.02,14.42
16hpf,112.19,1.9,2.24,0,27.32,0,0,33.78,20.79
19hpf,386.77,0,0,3.26,4.86,1.76,0,6.74,16.89
24hpf,81.39,0,2.3,2.85,19.39,0,0,5.12,3.73
2dpf,193.86,3.86,10.44,6.32,100.68,22.43,3.28,8.39,23.9
3dpf,152.39,1.21,0.34,2.22,0.81,4.6,0,1.67,4.25
5dpf,22.63,0.66,8.58,2.17,9.19,9.38,0.98,4.63,11.99
10dpf,12.45,0,1.89,0,0,0.46,0,0,1.12
