stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest
2dpf,1.54,0.76,0,0.62,0.48,0
3dpf,2.9,0,0,0,0,0
5dpf,1.42,0,0.53,0,1.49,0
10dpf,0.58,0,0,0,0.66,1.69
